Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
11000,23279,Gyakusatsu Kikan,"Psychological, Sci-Fi",Movie,1,,12529,0
11001,33378,Haikara-san ga Tooru Movie,"Comedy, Historical, Romance, Shoujo",Movie,1,,890,0
11002,34403,Hajimete no Gal,"Comedy, Ecchi, Romance, School, Shounen",TV,Unknown,,1408,0
11003,34016,Hatsukoi Monster OVA,"Comedy, Romance, School, Shoujo",OVA,1,,2673,0
11004,34125,High School Fleet OVA,"Action, Military, School",OVA,1,,3857,0
11005,21877,High Score Girl,"Comedy, Romance, School, Seinen",TV,Unknown,,2670,0
11006,33948,Hinako Note,"Comedy, Slice of Life",TV,Unknown,,909,0
11007,33204,Hirune Hime: Shiranai Watashi no Monogatari,"Drama, Mecha",Movie,1,,4186,0
11008,33797,ID-0,Mecha,OVA,Unknown,,292,0
11009,34028,Idol Jihen,Music,TV,Unknown,,872,0
11010,33899,IDOLiSH7,"Music, Shoujo",,Unknown,,1048,0
11011,33733,Inazuma Eleven: Ares no Tenbin,Sports,TV,Unknown,,1984,0
11012,33027,Infini-T Force,"Action, Seinen, Super Power",TV,Unknown,,503,0
11013,34012,Isekai Shokudou,"Comedy, Fantasy, Mystery",,Unknown,,749,0
11014,33012,Island,"Drama, Sci-Fi",TV,Unknown,,1659,0
11015,33840,Kabukibu!,School,TV,Unknown,,995,0
11016,33532,Kaitou Tenshi Twin Angel (TV),Magic,TV,Unknown,,698,0
11017,34198,Kamisama Minarai: Himitsu no Cocotama Movie,"Fantasy, Kids, Magic",Movie,1,,64,0
11018,33089,Kemono Friends,"Adventure, Comedy",TV,Unknown,,572,0
11019,32133,Kemushi no Boro,Kids,Movie,1,,286,0
11020,34501,Kenka Banchou Otome: Girl Beats Boys,,TV,Unknown,,319,0
11021,34032,King of Prism: Pride the Hero,"Music, Shoujo, Sports",Movie,1,,620,0
11022,33191,Kishibe Rohan wa Ugokanai,"Action, Adventure, Mystery, Supernatural",OVA,Unknown,,2607,0
11023,31758,Kizumonogatari III: Reiketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,,27504,0
11024,34104,Knight&#039;s &amp; Magic,"Action, Fantasy, Mecha, School",TV,Unknown,,887,0
11025,33206,Kobayashi-san Chi no Maid Dragon,"Comedy, Fantasy, Slice of Life",TV,Unknown,,5765,0
11026,33519,Koutetsujou no Kabaneri Soushuuhen 1: Tsudou Hikari,"Action, Drama, Fantasy, Horror",Movie,1,,8961,0
11027,33520,Koutetsujou no Kabaneri Soushuuhen 2: Moeru Inochi,"Action, Drama, Fantasy, Horror",Movie,1,,8986,0
11028,31658,Kuroko no Basket: Last Game,"School, Shounen, Sports",Movie,1,,15817,0
11029,31812,Kuroshitsuji Movie: Book of the Atlantic,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",Movie,1,,20335,0
11030,34106,Kyoukai no Rinne (TV) 3rd Season,"Comedy, Romance, School, Shounen, Supernatural",TV,Unknown,,3628,0
11031,34151,Landreaall,"Action, Adventure, Fantasy, Martial Arts, Romance",OVA,Unknown,,414,0
11032,33735,Locker Room,Sports,ONA,Unknown,,162,0
11033,34021,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,"Action, Adventure, Comedy, Drama",Movie,1,,785,0
11034,17947,Mahou Shoujo Lyrical Nanoha Reflection,"Action, Comedy, Drama, Magic, Super Power",Movie,1,,4772,0
11035,32900,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,"Action, Magic, Romance, School, Sci-Fi, Supernatural",Movie,1,,13884,0
11036,33788,Marginal#4: Kiss kara Tsukuru Big Bang,"Music, Shoujo",TV,Unknown,,1766,0
11037,33737,Megaton-kyuu Musashi,"Mecha, School",TV,Unknown,,173,0
11038,31422,Minami Kamakura Koukou Joshi Jitensha-bu,"School, Shounen, Sports",TV,Unknown,,2216,0
11039,31445,Minna Atsumare! Falcom Gakuen 3rd Season,"Comedy, Parody, School, Seinen",TV,Unknown,,245,0
11040,20715,Mint,"Drama, Fantasy",Movie,1,,1186,0
11041,30448,Mirai Arise,Sci-Fi,,Unknown,,4044,0
11042,34391,Mobile Suit Gundam Thunderbolt 2nd Season,"Action, Drama, Mecha, Military, Sci-Fi, Space",ONA,Unknown,,2040,0
11043,34223,Mori no Yousei: Kinoko no Musume,"Fantasy, Music",TV,Unknown,,149,0
11044,34383,Netsuzou TRap,"Drama, Shoujo Ai",TV,Unknown,,1783,0
11045,34277,"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...","Comedy, Slice of Life",OVA,1,,10823,0
11046,33850,Nil Admirari no Tenbin: Teito Genwaku Kitan,,TV,Unknown,,233,0
11047,34264,Ninja Bear,"Comedy, School",TV,Unknown,,55,0
11048,32447,Nora to Oujo to Noraneko Heart,"Comedy, Ecchi",TV,Unknown,,2181,0
11049,34148,Nyanko Days,"Comedy, Slice of Life",TV,Unknown,,1335,0
11050,34392,One Room,,TV,Unknown,,1616,0
11051,33983,Onihei,"Historical, Seinen",TV,13,,1716,0
11052,33949,Oshiete! Galko-chan (OVA),"Comedy, School, Slice of Life",OVA,1,,5179,0
11053,34262,Oushitsu Kyoushi Haine,"Comedy, Historical, Shounen",,Unknown,,321,0
11054,34161,Overlord Movie,"Action, Adventure, Fantasy, Game, Magic, Supernatural",Movie,1,,16008,0
