Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
3300,33197,Lostorage Incited WIXOSS,"Game, Psychological",TV,12,7.03,21893,0
3301,1415,Lupin III: Bye Bye Liberty - Kiki Ippatsu!,"Action, Adventure, Comedy, Shounen",Special,1,7.03,3235,0
3302,9630,Mini Sengoku Basara Two: Tsukiyo no Katakura-kun,"Comedy, Historical",Special,7,7.03,3232,0
3303,2613,Mirai Shounen Conan 2: Taiga Daibouken,"Adventure, Drama, Sci-Fi",TV,24,7.03,931,0
3304,2235,Mizu no Kotoba,"Drama, Psychological, Sci-Fi",Special,1,7.03,15958,0
3305,1174,Munto,"Fantasy, Magic, Romance",OVA,1,7.03,12271,0
3306,31442,Musaigen no Phantom World,"Action, Comedy, Fantasy, Slice of Life, Supernatural",TV,13,7.03,168482,0
3307,229,Ninin ga Shinobuden,"Comedy, Martial Arts, Parody",TV,12,7.03,23125,0
3308,28431,Pokemon Omega Ruby &amp; Alpha Sapphire: Mega Special Animation,"Action, Adventure, Fantasy, Kids",ONA,1,7.04,4068,0
3309,6201,Princess Lover!,"Comedy, Ecchi, Harem, School",TV,12,7.03,104098,0
3310,1954,Rayearth,"Action, Adventure, Fantasy",OVA,3,7.03,9637,0
3311,1942,Rocket Girls,"Adventure, Sci-Fi",TV,12,7.03,4794,0
3312,28105,Shirobako Specials,"Adventure, Comedy",Special,2,7.03,11669,0
3313,33491,Shounen Maid Special,"Comedy, Shoujo, Slice of Life",OVA,1,7.03,2480,0
3314,508,Tottoko Hamtarou,"Adventure, Comedy, Kids",TV,296,7.03,29433,0
3315,1549,1000-nen Joou: Queen Millennia,"Adventure, Drama, Fantasy, Sci-Fi",Movie,1,7.02,2078,0
3316,2832,Ani*Kuri15,"Adventure, Comedy, Drama, Fantasy, Game, Magic, Martial Arts, Mecha, School, Sci-Fi, Slice of Life, Super Power, Supernatural",Special,15,7.02,12926,0
3317,971,Astro Boy: Tetsuwan Atom,"Action, Adventure, Kids, Mecha, Sci-Fi, Shounen, Super Power",TV,50,7.02,9331,0
3318,4999,Asu no Yoichi!,"Comedy, Ecchi, Harem, Martial Arts, Romance, Shounen",TV,12,7.02,110748,0
3319,23369,Bakuman. 2nd Season Special,Comedy,Special,1,7.02,6812,0
3320,1668,Bakuten Shoot Beyblade G Revolution,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",TV,52,7.02,22429,0
3321,1186,Battle Athletess Daiundoukai (TV),"Action, Adventure, Comedy, Drama, School, Sci-Fi, Shounen, Sports",TV,26,7.02,4806,0
3322,8440,Black Lagoon Omake,Comedy,Special,7,7.02,33923,0
3323,3456,Candy☆Boy: Side Story For Archive,"Romance, School, Shoujo Ai",ONA,1,7.02,20294,0
