Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
10600,18137,Train Heroes,Kids,TV,26,6.1,164,0
10601,22131,Train Heroes Movie,Kids,Movie,1,6.25,61,0
10602,25079,Trapp Ikka Monogatari Specials,"Drama, Historical, Music, Romance",Special,2,6.73,132,0
10603,20087,Treasure Gaust,Game,TV,5,3.82,96,0
10604,12341,Trip Trek,"Adventure, Comedy, Fantasy",ONA,4,3.64,115,0
10605,21509,Trip Trek (2010),"Adventure, Comedy, Fantasy",ONA,8,5.0,73,0
10606,6917,Tsuideni Tonchinkan,Comedy,TV,43,7.13,189,0
10607,29649,Tsuiseki,Dementia,Movie,1,4.4,81,0
10608,12905,Tsuki ga Noboru made ni,"Drama, Historical",OVA,1,5.88,133,0
10609,15139,Tsuki no Miya no Oujo-sama,Kids,Movie,1,4.79,130,0
10610,33691,Tsukiyo to Megane,Fantasy,Movie,1,4.67,39,0
10611,32861,Tsukiyomi,Music,Music,1,4.73,86,0
10612,32598,Tsukushi no Iwai,Historical,OVA,1,6.5,37,0
10613,29479,Tsunagaru Animal,Kids,Special,1,5.4,39,0
10614,5473,Tsuri Baka Nisshi,"Comedy, Slice of Life",TV,36,6.78,149,0
10615,29929,Tsuru no Ongaeshi,Kids,Movie,1,4.56,70,0
10616,28023,Tsuru no Sugomori,Kids,Movie,1,8.5,46,0
10617,9175,Tsuruhime Ja!,"Comedy, Kids, Shoujo, Slice of Life",TV,49,5.54,89,0
10618,12903,Tsushima Maru: Sayounara Okinawa,Historical,Movie,1,7.09,120,0
10619,10943,Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai,"Comedy, Drama, Romance, School, Shounen, Slice of Life",Movie,1,6.73,107,0
10620,6273,Tsuyu no Hito Shizuku,Historical,OVA,1,6.5,181,0
10621,32646,Tsuzuki wo Kangaeru Monogatari,Drama,Special,4,5.43,39,0
10622,19555,Ttoli Janggun,"Action, Drama, Shounen",Movie,1,4.7,61,0
10623,32889,Tu Xia Chuanqi,"Action, Adventure, Comedy",Movie,1,5.33,50,0
10624,32890,Tu Xia Zhi Qing Li Chuanshuo,"Action, Adventure, Comedy",Movie,1,6.0,57,0
10625,19311,Turuturutu Narongi,"Adventure, Kids",TV,52,6.25,67,0
10626,12901,TWD Express Rolling Takeoff,"Adventure, Sci-Fi",Movie,1,5.2,89,0
10627,4131,Twin Bee Paradise,"Action, Adventure",OVA,4,6.66,176,0
10628,23537,Two Down Full Base,"Kids, Sports",Special,1,6.38,57,0
10629,12899,Ucchare Goshogawara,"Martial Arts, School, Shounen, Sports",OVA,1,5.83,152,0
10630,3975,Uchi no 3 Shimai,"Comedy, Slice of Life",TV,141,6.68,265,0
10631,6989,Uchuu Ace,"Action, Adventure, Sci-Fi",TV,52,6.27,154,0
10632,21037,Uchuu Icchokusen,"Fantasy, Mystery, Sci-Fi, Space",Movie,1,5.63,276,0
10633,29283,Uchuu Kaizoku Mito no Daibouken Pilot,"Comedy, Sci-Fi",Special,1,5.42,106,0
10634,10224,Uchuu Majin Daikengou,"Action, Adventure, Mecha, Sci-Fi, Shounen, Space",TV,26,6.6,229,0
10635,33086,Uchuu Neko: Mardock no Bouken,"Adventure, Comedy, Space",ONA,4,3.82,70,0
10636,12897,Uchuu Patrol Hopper,"Sci-Fi, Space",TV,44,6.54,138,0
10637,12887,Uchuu Shounen Soran,"Action, Adventure, Sci-Fi",TV,96,6.22,122,0
10638,12895,Uchuu Shounen Soran (Movie),"Action, Adventure, Sci-Fi",Movie,1,5.67,84,0
10639,19985,Uchuujin Pipi,Kids,TV,52,5.0,70,0
10640,26447,Uchuusen Sagittarius Pilot,"Adventure, Sci-Fi",Special,1,5.67,78,0
10641,17649,Udauda Yatteru Hima wa Nee!,"Action, Comedy, School, Shounen",OVA,2,6.36,122,0
10642,19059,UFO Nitsukamatta Kodomo-tachi,Kids,OVA,1,5.42,68,0
10643,10815,UFO Senshi Dai Apolon 2,"Action, Mecha, Sci-Fi",TV,21,6.08,144,0
10644,16830,Uju Jeonsa Hong Gildong,"Action, Adventure, Kids, Sci-Fi, Space",Movie,1,4.58,63,0
10645,18269,Ujusonyeon Kaesi,"Action, Adventure, Sci-Fi, Shounen",Movie,1,4.63,57,0
10646,23641,Ukare Violin,"Fantasy, Kids",Movie,1,6.75,61,0
10647,8345,Ukkari Pénélope,"Comedy, Slice of Life",TV,26,6.38,143,0
10648,34078,Ukkari Pénélope (2013),"Kids, Slice of Life",TV,13,7.0,32,0
10649,8346,Ukkari Pénélope OVA,Fantasy,OVA,2,5.93,100,0
10650,30049,Uli Chingu Kkachi,"School, Slice of Life",Movie,1,4.91,42,0
10651,30054,Uli Sai Jjang-Iya,School,Movie,1,5.0,36,0
10652,10250,Ultra B,"Comedy, Super Power",TV,119,5.52,102,0
10653,10244,Ultra B: Black Hole kara no Dokusaisha BB!!,"Adventure, Comedy",Movie,1,5.54,71,0
10654,25981,Ultra Dino Makera,"Action, Kids",Special,1,5.35,62,0
10655,4682,Ultra Nyan 2: The Great Happy Operation,"Comedy, Kids",Movie,1,6.15,133,0
10656,4681,Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko,"Comedy, Kids",Movie,1,6.3,277,0
10657,11695,Ultraman Graffiti,"Action, Comedy, Parody, Super Power",OVA,6,5.25,123,0
10658,8753,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,"Kids, Space",TV,26,6.92,181,0
10659,10909,Ultraman Kids: M7.8 Sei no Yukai na Nakama,"Kids, Super Power",Movie,1,5.39,118,0
10660,30122,Ultraman M78 Gekijou: Love and Peace,"Comedy, Kids, Parody, Sci-Fi, Space, Super Power",Special,1,5.31,93,0
10661,17621,Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,"Action, Sci-Fi, Shounen, Space, Super Power",OVA,1,6.56,147,0
10662,34453,Uma Musume: Pretty Derby,Action,ONA,1,6.64,75,0
10663,12835,Umeboshi Denka,"Comedy, Slice of Life",TV,26,6.53,92,0
10664,12861,Umeboshi Denka: Uchuu no Hate kara Panparopan!,Comedy,Movie,1,6.38,78,0
10665,16253,"Umi Da! Funade Da! Nikoniko, Pun","Comedy, Fantasy",Movie,1,6.38,79,0
10666,30977,Umi no Koumori,"Drama, Kids",OVA,1,6.0,32,0
10667,20225,Umigame to Shounen,"Drama, Historical",Special,1,6.55,90,0
10668,34038,Umihiko Yamahiko,"Fantasy, Historical",Movie,1,6.0,37,0
10669,32388,Undouki Kenshin Manual Taiou Taisou,Kids,Special,1,2.72,53,0
10670,32580,Uniminipet,"Adventure, Fantasy",TV,26,6.75,35,0
10671,6658,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,"Comedy, Magic",TV,13,3.25,300,0
10672,33085,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,"Comedy, Magic",TV,13,6.2,52,0
10673,29800,Urameshi Denwa,Kids,Movie,1,4.02,94,0
10674,30973,Urashima Tarou (1952),Historical,Movie,1,4.58,106,0
10675,29917,Uriko-hime to Amanojaku,Demons,Movie,1,4.41,71,0
10676,4598,Urikupen Kyuujo-tai,"Adventure, Comedy, Kids",TV,156,5.78,141,0
10677,32639,Usaband,Music,ONA,1,4.32,41,0
10678,21713,Usagi no Mofy,Kids,ONA,13,5.36,72,0
10679,29153,Usagi to Kame (Music),Music,Music,1,4.22,83,0
10680,30931,Usagi to Kame no Koutsuu Anzen,"Drama, Fantasy, Kids",OVA,1,6.0,33,0
10681,6522,Usahana: Yumemiru Ballerina,Kids,Special,7,5.76,125,0
10682,30863,Usalullaby,Dementia,Movie,1,4.0,80,0
10683,33787,Usamaru,Comedy,ONA,12,5.0,54,0
10684,32637,Usawaltz,"Dementia, Music",ONA,1,4.67,60,0
10685,12833,Ushiro no Hyakutarou,"Horror, School, Supernatural",OVA,2,5.85,89,0
10686,27851,Ushiro no Seki no Ochiai-kun,"Kids, School",OVA,1,5.67,55,0
10687,13303,Usogui,"Game, Psychological, Seinen",OVA,1,5.64,867,0
10688,30941,Utsukushii Message,"Drama, Kids",OVA,1,8.33,37,0
10689,5921,Utsunomiko,"Adventure, Demons, Fantasy",Movie,1,6.35,298,0
10690,6528,Utsurun Desu.,Comedy,OVA,3,6.41,177,0
10691,30131,Uwabaki Cook,Kids,TV,13,4.57,67,0
10692,30605,Uwabaki Cook no Tekitou Uranai!,Comedy,TV,125,4.6,90,0
10693,25599,Vampiyan Kids Promotion,"Comedy, Fantasy, Kids",Special,1,4.29,69,0
10694,25597,Vampiyan Kids Specials,"Comedy, Fantasy, Kids",Special,3,6.13,77,0
10695,31269,Venus,Dementia,Movie,1,3.49,97,0
10696,30029,Video Ehonkan Sekai Meisaku Douwa,"Adventure, Comedy, Fantasy, Historical, Kids, Magic, Sci-Fi, Space, Supernatural",OVA,26,5.57,66,0
10697,16832,Video Ranger 007,"Action, Adventure, Mecha",Movie,1,4.17,69,0
10698,22561,Virtual Star 2000,Action,OVA,6,5.43,75,0
10699,18627,Visitor,Sci-Fi,Special,1,4.27,108,0
