,Unnamed: 0,anime_id,name,genre,type,episodes,rating,members,synopsis
0,3900,293,Di Gi Charat,"Comedy, Fantasy, Sci-Fi",TV,16,6.85,12227,"Di Gi Charat is a series of shorts created as advertisements for ""Digital Gamers"", a store in Akihabara. The series follows Dejiko, princess of Di Gi Charat planet, and her companions, Puchiko and Gema, as well as Dejikos rival, Rabi~en~Rose through daily ordeals they encounter while working at Gamers.Princess Di Gi Charat came from the planet Di Gi Charat given only a cat cap and an outfit to disguise herself. Unfortunately she came with no money, only her guardian Gema and friend Petite Charat. Luckily the three stumbled upon a manager of the store Gamers, who offered them a home if they worked at the store. However Di Gi Charat is a selfish young girl who wishes of becoming a star.(Source: ANN)"
1,3901,12343,Dirty Pair Flash 2,"Action, Adventure, Comedy, Ecchi, Police, Sci-Fi",OVA,5,6.85,1539,"Always causing more destruction than they prevent, special agents Kei and Yuri face tough challenges while at an amusement park planet. This anime set finds the pair facing off against an android hit woman, transvestite assassins, ghosts and more. In addition, the Lovely Angels get into several wild adventures while tracking down a con man and giving love advice to the computer programmer theyre protecting. (Source: Netflix) "
2,3902,563,DNA²,"Comedy, Romance, Sci-Fi",TV,12,6.85,23140,"Karin, a DNA operator from the future, is on a mission to change the course of History by stopping Junta Momonari from becoming the Mega-Playboy who fathered 100 children and led to the overpopulation of the world. But Junta is no playboy; in fact he is allergic to girls. But when Karin shoots him with the wrong DNA-altering bullet, he starts sporadically becoming the Mega-Playboy capable of charming any woman. Karin must try to restore the situation to normal before the change to Mega-Playboy becomes irreversible. (Source: ANN)"
3,3903,378,eX-Driver the Movie,"Action, Adventure, Cars, Comedy, Sci-Fi, Shounen",Movie,1,6.85,2791,"After winning domestic preliminary round, Lisa, Lorna, and Soichi advance to ex-Driver world race competition held in Los Angeles as representative team from Japan. Like a bad omen, they encountered a reckless AI car the first night they arrived at Los Angeles. Although they successfully stopped the car, the local police department is not very happy about that and insists to examine their car overnight. However, the problem did not stop just there. The daughter of the United States team`s sponsor, Angela, has gone missing. Lorna realized that Angela was on the reckless AI car before. Soichi who guessed that Angel could be in danger then start looking for her. But Soichi got captured by a mysterious man, and he shocked to find Angela is also there. During the confinement inside a warehouse, Soichi finds out that apparently there is a connection between the series of incident and illegal gambling on the ex-Driver world race competition. Now Soichi must escape from the warehouse with Angela... (Source: AniDB)"
4,3904,23115,Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru Soushuuhen Special,"Comedy, Mystery, Super Power",Special,1,6.85,4587,Recap of the Hamatora The Animation series narrated by Mao.
5,3905,318,Hand Maid May,"Comedy, Ecchi, Harem, Romance, Sci-Fi",TV,10,6.85,17895,"Saotome Kazuya is a computer whiz. One day his friend Nanbara, threatens him with a computer virus. Trying to stop the virus, Kazuya ends up making a special order. May is a cyberdoll that arrives at his door a few minutes later and she is 1/6th the size of a normal person, which makes for many awkward situations. Not to mention the fact Kazuya cant even afford to keep May. Cyberdyne is not satisfied with Kazuyas non-payments and will do anything to retrieve CBD May.(Source: ANN)"
6,3906,2217,Hand Maid May Special,"Comedy, Ecchi, Harem, Romance, Sci-Fi",Special,1,6.85,5984,Special episode.
7,3907,30651,Itoshi no Muco,"Comedy, Slice of Life",TV,25,6.86,4272,"Muco is the sweetest, most lovable dog in the neighborhood. This sparkly-nosed Shiba Inu lives with her owner and best friend, Komatsu, a glassblower who lives in the mountains. These two companions have wonderful adventures, from going on walks to playing in the pond in front of their house. No matter where they go or what they do, Muco will always love her best friend Komatsu!"
8,3908,18053,Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei,"Drama, Romance, School",Special,1,6.85,3526,Picture drama included with the 1st DVD/BD.
9,3909,13367,"Kono Naka ni Hitori, Imouto ga Iru!","Comedy, Ecchi, Harem, Mystery, Romance, School, Seinen",TV,12,6.85,92252,"Shougo Mikadonos father has just passed away, and now he must become the head of Mikadono Group, his fathers company. After completing the training to take over, there is just one other stipulation he must adhere to: he will need to find a girl he loves at his new school and marry her by the time he graduates high school.Shougo transfers to Miryuin Private Academy, and it seems like he has many girls to choose from, such as Konoe Suruma, the class representative as well as his first new friend; Miyabi Kannagi, a standoffish but kind girl; Rinka Kunitachi, the student council vice president; Mei Sagara, who runs a cafe and dresses like a witch; and Mana Tendou, the student council president. However, there is a complication: one of them is his long-lost half sister, and he has no idea which one, so how can he become romantically involved with any of them?"
10,3910,6229,Konpeki no Kantai,"Action, Drama, Historical, Military",OVA,32,6.85,827,"Konpeki no Kantai is a Japanese alternate-history original video animation series produced by JC Staff. Based on a 1992 novel by Yoshio Aramaki, the series focuses on a technologically advanced Imperial Japanese Navy and a radically different Pacific War that was brought about by Admiral Isoroku Yamamotos revival in the past due to unexplained circumstances. The series also features real-life 1940s figures whose first names were changed, such as Winston Churchill to Kingston Churchill and Adolf Hitler to Heinrich von Hitler.(Source: Wikipedia)"
11,3911,557,Koutetsu Tenshi Kurumi Encore,"Comedy, Historical, Romance, Sci-Fi, Shounen",OVA,4,6.85,4734,"Four additional short stories of the Steel Angels: Saki becomes a film actress, Karinka goes on a blind date with Kamihito, Kurumi practices the art of becoming a traditional Japanese woman, and the rest of the Steel Angels engage in a contest to win Nakahitos heart. (Source: ANN)"
12,3912,3659,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,"Adventure, Comedy",Movie,1,6.85,272,"""Unbelievable"" Zorori is a prankster fox determined to become the Prince of Mischief, with his very own castle and beautiful bride. While is notorious for his prank-making schemes, his ill-meaning plots often backfire against him, and can usually end up even benefiting or cheering up his targets, much to his dismay. Nevertheless, Zorori has the wits and intelligence to wriggle out of the tightest of all spots, and journeys with a pair of twin boars, Ishishi and Noshishi, in order to fulfill his long wished-for goal and at last prove to his deceased mother, Mama Zorori that he truly holds the potential to achieve his dreams.(Source: ANN)"
13,3913,3182,Massugu ni Ikou. 2nd Season,"Comedy, Josei, Romance, Slice of Life",TV,5,6.85,904,"Mametarou is a Crossbreed and this is about his daily activities and the friends he makes with his girlfriend, Hanako."
15,3915,10114,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,"Comedy, Shounen",Movie,1,6.85,297,"The Ninjutsu Academy students return from summer break to hear that due to one of Komatsudas mistakes, all their summer homework was mixed up. As a result Kisanta, who received an assignment meant for a sixth year, has gone missing after trying to sneak into Oomagatoki Castle to steal their lords fundoshi. A group including Shinbei and Kirimaru is sent to rescue him, but since Oomagatoki is at war with Tasogaredoki Castle it might be a difficult mission. At the same time, Ninjutsu Academy receives a request for support from a village troubled by the war, and Rantarou and the remaining students and teachers head there to help out."
16,3916,22661,One Piece: Cry Heart,"Fantasy, Shounen",Special,3,6.85,3417,"Episode 1: Fuyujima ni Furu SakuraDiligent animators took Banprestos ""One Piece Cry heart ~Fuyujima ni Furu Sakura~"" (One Piece Cry heart ~The Cherry Blossoms That Fall on Winter Island~) line of crane game prize figures and created a five-minute stop-motion short. The short recreates the famous ""Hiluluks Cherry Blossoms"" scene from Eiichiro Odas manga and anime One Piece.Episode 2: Fuyujima ni Furu SakuraA stop-motion animated video for Banprestos ""One Piece Cry heart ~childrens dream~"" line of crane game prize figures. The short recreates the famous ""Oath of Brothers"" scene from Eiichiro Odas manga and anime.Episode 3: Ace no Saigo(Source: ANN)"
17,3917,2783,Oyayubi Hime Monogatari,"Adventure, Fantasy, Shoujo",TV,26,6.85,671,"A bratty girl named Mia is given a book, Thumbelina, which upon reading she is shrunk and transported into the world of the book. She embarks on a journey to return home, and to normal size making friends and learning lessons on the way, but thats only the beginning of her adventures.(Source: ANN)"
18,3918,4136,Penguin Musume♥Heart,"Comedy, Ecchi, School, Slice of Life",ONA,22,6.85,12195,"Sakura Nankyoku is a total otaku. Due to a fluke, she gets elected as her class Student Council President. Everything takes off from there into a series of crazy misadventures revolving around Sakura, her family, and her classmates.(Source: ANN)"
19,3919,1771,Ring ni Kakero 1: Nichibei Kessen-hen,"Action, Shounen, Sports",TV,12,6.85,1037,"Immediately after Ryuuji Takane won the Champion Carnival, the U.S. Junior Champion Black Shaft appeared, and challenged the best Japan has to offer, just before the World Tournament is about to happen. Now Ryuuji, Takeshi Kawai, Kazuki Shinatora, Ishimatsu Katori, and Superstar Jun Kenzaki have to prove to not only Black Shaft, but the world, that they are truly world-class boxers before the World Tournament starts. But Shaft is not recruiting boxers for his challenge, but instead gets a life-timer criminal from Death Row, the leader of the Great Angels, one of the toughest gangs in America, a mysterious woman, and the ""Dark Emperor of the South"". Also, Shaft negotiates with Don Juliano, the Italian Junior Champion, just in case...(Source: ANN)"
20,3920,11635,Sacred Seven: Shirogane no Tsubasa,"Action, School, Sci-Fi, Super Power",Movie,1,6.85,3940,A recap special that will feature the battles of Alma and Knight. The past story of Knight will be described with new animations.
21,3921,27709,Saki Biyori Animation,"Comedy, School, Seinen, Slice of Life",OVA,1,6.85,1682,"A single episode OVA released with the 14th volume of the Saki manga, consisting of 4-koma gags featuring characters from the first season. The two pros meet up at a family restaurant. The captains of the four teams prepare for a joint training camp. Ikeda keeps her little sisters occupied. The Tsuruga team goes on an unplanned camping trip. Ryuumonbuchi celebrate Koromos birthday.(Source: ANN)"
